Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS-NSRDB-TMY,sunfield,Wheatland County,AB,Canada,51.18978,-113.66769,-7,961
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Wspd,Pressure,RH
1900,1,1,0,30,0.0,0.0,0.0,0.8,3.47,901.9,63.1
1900,1,1,1,30,0.0,0.0,0.0,-4.4,3.17,901.9,69.0
1900,1,1,2,30,0.0,0.0,0.0,-4.1,3.03,901.9,75.0
1900,1,1,3,30,0.0,0.0,0.0,-3.1,2.83,902.0,75.1
1900,1,1,4,30,0.0,0.0,0.0,-2.4,2.76,902.3,75.3
1900,1,1,5,30,0.0,0.0,0.0,-1.9,2.62,902.3,72.4
1900,1,1,6,30,0.0,0.0,0.0,-1.9,2.48,902.2,75.3
1900,1,1,7,30,0.0,0.0,0.0,-2.2,2.34,902.0,78.3
1900,1,1,8,30,0.0,0.0,0.0,-2.9,2.21,902.1,78.3
1900,1,1,9,30,22.9,0.0,22.9,-3.1,2.00,902.1,81.5
1900,1,1,10,30,56.7,0.7,56.6,-2.8,1.72,902.4,78.3
1900,1,1,11,30,124.7,78.3,107.5,-2.1,1.79,902.2,78.3
1900,1,1,12,30,129.4,47.1,117.0,-0.2,1.86,901.8,75.6
1900,1,1,13,30,144.8,142.0,106.5,0.7,1.52,901.1,72.8
1900,1,1,14,30,142.9,251.0,83.8,1.2,1.38,900.7,75.8
1900,1,1,15,30,74.8,206.4,40.8,1.0,1.31,900.5,78.8
1900,1,1,16,30,7.5,43.2,4.8,0.7,1.52,900.7,75.8
1900,1,1,17,30,0.0,0.0,0.0,-1.1,1.45,900.7,81.7
1900,1,1,18,30,0.0,0.0,0.0,-2.5,1.52,900.5,84.8
1900,1,1,19,30,0.0,0.0,0.0,-3.5,1.31,900.3,84.7
1900,1,1,20,30,0.0,0.0,0.0,-3.2,0.97,899.9,81.5
1900,1,1,21,30,0.0,0.0,0.0,-3.2,0.97,899.5,81.5
1900,1,1,22,30,0.0,0.0,0.0,-2.9,0.76,898.8,78.3
1900,1,1,23,30,0.0,0.0,0.0,-3.4,0.90,898.1,81.5
1900,1,2,0,30,0.0,0.0,0.0,-6.7,1.59,896.5,81.0
1900,1,2,1,30,0.0,0.0,0.0,-6.7,1.59,895.6,74.5
