Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
OpenMeteo-ERA5-2016,sunfield,Wheatland County,AB,Canada,51.18978,-113.66769,-7,961
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Wspd,Pressure,RH
1900,1,1,0,30,0.0,0.0,0.0,-8.4,4.84,904.2,67.0
1900,1,1,1,30,0.0,0.0,0.0,-8.7,4.85,903.8,67.0
1900,1,1,2,30,0.0,0.0,0.0,-9.0,4.85,903.4,67.0
1900,1,1,3,30,0.0,0.0,0.0,-9.3,5.25,904.5,67.0
1900,1,1,4,30,0.0,0.0,0.0,-9.6,5.14,904.3,68.0
1900,1,1,5,30,0.0,0.0,0.0,-10.0,5.14,903.8,69.0
1900,1,1,6,30,0.0,0.0,0.0,-10.3,5.15,903.5,69.0
1900,1,1,7,30,0.0,0.0,0.0,-10.5,5.16,902.9,70.0
1900,1,1,8,30,0.0,0.0,0.0,-10.8,5.10,902.6,70.0
1900,1,1,9,30,2.0,35.8,1.0,-10.8,5.12,902.2,70.0
1900,1,1,10,30,68.0,534.8,21.0,-9.9,4.92,902.8,67.0
1900,1,1,11,30,171.0,720.1,39.0,-7.9,4.61,903.7,63.0
1900,1,1,12,30,247.0,810.4,48.0,-4.6,4.22,904.5,59.0
1900,1,1,13,30,278.0,839.7,51.0,-2.5,3.93,904.9,59.0
1900,1,1,14,30,260.0,824.4,49.0,-1.2,3.83,905.1,60.0
1900,1,1,15,30,196.0,752.1,43.0,-1.0,4.00,905.8,63.0
1900,1,1,16,30,97.0,601.8,27.0,-2.1,4.30,905.2,68.0
1900,1,1,17,30,10.0,135.9,4.0,-4.1,4.53,904.7,74.0
1900,1,1,18,30,0.0,0.0,0.0,-5.7,4.50,904.4,78.0
1900,1,1,19,30,0.0,0.0,0.0,-7.2,4.41,903.9,79.0
1900,1,1,20,30,0.0,0.0,0.0,-8.6,4.13,903.9,81.0
1900,1,1,21,30,0.0,0.0,0.0,-9.6,3.86,904.1,79.0
1900,1,1,22,30,0.0,0.0,0.0,-9.9,3.45,904.7,75.0
1900,1,1,23,30,0.0,0.0,0.0,-9.8,3.04,906.0,71.0
1900,1,2,0,30,0.0,0.0,0.0,-10.4,2.62,905.6,69.0
1900,1,2,1,30,0.0,0.0,0.0,-11.4,2.71,905.5,70.0
1900,1,2,2,30,0.0,0.0,0.0,-12.4,2.72,904.2,73.0
1900,1,2,3,30,0.0,0.0,0.0,-13.6,2.92,905.5,77.0
1900,1,2,4,30,0.0,0.0,0.0,-14.1,3.13,905.2,76.0
1900,1,2,5,30,0.0,0.0,0.0,-14.1,2.75,904.5,73.0
1900,1,2,6,30,0.0,0.0,0.0,-14.6,2.45,903.7,73.0
1900,1,2,7,30,0.0,0.0,0.0,-15.4,2.26,903.1,74.0
1900,1,2,8,30,0.0,0.0,0.0,-16.1,2.28,903.1,75.0
1900,1,2,9,30,2.0,35.6,1.0,-16.8,2.12,902.9,76.0
1900,1,2,10,30,68.0,520.6,22.0,-16.0,2.19,903.5,73.0
1900,1,2,11,30,170.0,711.6,39.0,-12.9,2.16,905.2,66.0
